4154705680,422.791871547699,78614674.682198
4156125512,430.4917814731598,77234933.45731387
4155683920,413.79891443252563,80342094.19227713
4156471536,426.9065566062927,77890048.23991466
4157617048,454.75882863998413,73139726.57434973
4156137616,442.3591754436493,75163131.62184085
4156918784,418.81057620048523,79404275.25421569
4156048584,473.33739376068115,70242472.09340563
4157626016,424.4847512245178,78356190.72782108
4156058112,432.103994846344,76945516.10850796
4156339280.8,433.9843844175339,76617305.69183263
